date,price
2022-11-10,1466000.0
2022-11-12,1487000.0
2022-11-13,1508900.0
2022-11-14,1520500.0
2022-11-15,1514700.0
2022-11-16,1485600.0
2022-11-17,1485600.0
2022-11-19,1501300.0
2022-11-20,1491600.0
2022-11-21,1499700.0
2022-11-22,1495500.0
2022-11-23,1503400.0
2022-11-24,1503400.0
2022-11-26,1529700.0
2022-11-27,1528600.0
2022-11-28,1527600.0
2022-11-29,1554400.0
2022-11-30,1577300.0
2022-12-01,1577300.0
2022-12-03,1594800.0
2022-12-04,1580700.0
2022-12-05,1574700.0
2022-12-06,1576400.0
2022-12-07,1593400.0
2022-12-10,1646300.0
2022-12-11,1672400.0
2022-12-12,1697800.0
2022-12-13,1675200.0
2022-12-14,1690200.0
2022-12-15,1690200.0
2022-12-17,1742100.0
2022-12-18,1766400.0
2022-12-19,1741700.0
2022-12-20,1769400.0
2022-12-21,1800100.0
2022-12-22,1800100.0
2022-12-24,1846000.0
2022-12-25,1878300.0
2022-12-26,1878300.0
2022-12-29,1915300.0
2022-12-31,1855200.0
2023-01-01,1849700.0
2023-01-02,1795200.0
2023-01-03,1805600.0
2023-01-04,1804900.0
2023-01-05,1804900.0
2023-01-07,1899100.0
2023-01-08,1884600.0
2023-01-10,1887800.0
2023-01-11,1908600.0
2023-01-14,1921500.0
2023-01-15,1941800.0
2023-01-16,1991400.0
2023-01-17,2027200.0
2023-01-18,2033500.0
2023-01-21,2084000.0
2023-01-22,2083800.0
2023-01-23,2036500.0
2023-01-24,2062600.0
2023-01-25,2117500.0
2023-01-28,2136900.0
2023-01-29,2112700.0
2023-01-30,2070200.0
2023-01-31,2141500.0
2023-02-01,2178000.0
2023-02-05,2069000.0
2023-02-06,2068100.0
2023-02-07,2088000.0
2023-02-08,2111700.0
2023-02-12,2119800.0
2023-02-13,2142400.0
2023-02-14,2167400.0
2023-02-16,2201500.0
2023-02-20,2313500.0
2023-02-21,2400800.0
2023-02-25,2729000.0
2023-02-27,2605030.0
2023-02-28,2508600.0
2023-03-01,2501700.0
2023-03-05,2347200.0
2023-03-06,2320400.0
2023-03-07,2292880.0
2023-03-08,2249260.0
2023-03-13,2284000.0
2023-03-14,2316500.0
2023-03-15,2314700.0
2023-03-24,2637080.0
2023-03-25,2601860.0
2023-03-26,2632860.0
2023-03-27,2593360.0
2023-03-28,2630150.0
2023-03-29,2600920.0
2023-04-03,2582700.0
2023-04-04,2595200.0
2023-04-05,2549000.0
2023-04-06,2548700.0
2023-04-08,2486900.0
2023-04-09,2489900.0
2023-04-10,2550100.0
2023-04-12,2547230.0
2023-04-15,2550100.0
2023-04-16,2630000.0
2023-04-17,2554500.0
2023-04-18,2590800.0
2023-04-19,2605600.0
2023-04-23,2573350.0
2023-04-25,2573000.0
2023-04-26,2658000.0
2023-04-27,2658000.0
2023-04-29,2745200.0
2023-04-30,2748000.0
2023-05-01,2721700.0
2023-05-02,2726300.0
2023-05-03,2734600.0
2023-05-04,2734600.0
2023-05-06,2634400.0
2023-05-07,2658700.0
2023-05-08,2640900.0
2023-05-09,2652200.0
2023-05-10,2642500.0
2023-05-11,2642500.0
2023-05-13,2523400.0
2023-05-14,2589400.0
2023-05-17,2499800.0
2023-05-18,2499800.0
2023-05-20,2564200.0
2023-05-21,2577400.0
2023-05-22,2563300.0
2023-05-23,2536100.0
2023-05-24,2527100.0
2023-05-25,2527100.0
2023-05-27,2495900.0
2023-05-28,2526800.0
2023-05-29,2495700.0
2023-05-30,2495000.0
2023-05-31,2504000.0
2023-06-01,2504000.0
2023-06-03,2464700.0
2023-06-06,2386900.0
2023-06-07,2348600.0
2023-06-08,2348600.0
2023-06-10,2247200.0
2023-06-11,2276800.0
2023-06-12,2346500.0
2023-06-13,2327800.0
2023-06-14,2307700.0
2023-06-15,2307700.0
2023-06-17,2358500.0
2023-06-18,2310700.0
2023-06-19,2329700.0
